sent_time,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis
14:17:49.047000,41.51092,36.1187973,73.34,2.092082,315.0,0.368613243
14:17:49.101000,41.5109825,36.1186562,76.014,9.302155,315.0,-0.515323043
14:17:50.175000,41.511013,36.11858,77.585,9.897766,316.0,24.12302
14:17:51.242000,41.5110626,36.1184921,78.382,2.85115862,346.0,29.9573746
14:17:52.305000,41.5111237,36.1184578,77.689,-14.9092379,2.0,28.7883759
14:17:53.868000,41.5112,36.11847,74.382,-15.3200083,17.0,10.9529848
14:17:54.835000,41.5112724,36.1185036,73.822,-11.2783289,23.0,-4.90695238
14:17:55.977000,41.511364,36.1185455,72.203,-12.8047447,17.0,-4.71774769
14:17:56.119000,41.5114632,36.1185837,71.461,-1.00512993,12.0,10.4851875
14:17:57.718000,41.51161,36.1186752,72.159,-5.19342661,29.0,-2.61356854
14:17:58.751000,41.511692,36.1187325,71.551,-12.2923756,22.0,-7.415911
14:17:59.811000,41.5117569,36.1187668,69.627,-10.9448891,19.0,-11.6001091
14:18:00.788000,41.5118637,36.1187935,68.61,-6.1720767,7.0,7.534828
14:18:01.645000,41.5119629,36.11883,68.643,-1.16930723,11.0,33.17962
14:18:02.710000,41.51204,36.1189346,68.685,-2.47434783,40.0,32.0192871
14:18:03.767000,41.51206,36.11905,69.9,3.02006173,69.0,33.0217438
14:18:04.817000,41.51202,36.11921,72.984,11.3696384,98.0,46.1152763
14:18:05.872000,41.5119133,36.1193275,75.276,6.644245,130.0,48.1217575
14:18:06.937000,41.5117531,36.1193466,76.629,5.65077925,171.0,25.6033573
14:18:08.008000,41.5116348,36.1193,78.054,15.8923855,193.0,23.9444828
14:18:08.071000,41.5115128,36.1192,80.833,18.62796,221.0,25.528223
14:18:09.140000,41.5114479,36.1191063,82.88,16.939661,240.0,37.1011047
14:18:10.087000,41.5114,36.1189575,84.137,4.51200771,279.0,38.41506
14:18:11.171000,41.5114059,36.1188,83.598,-6.237532,301.0,33.7750626
14:18:11.313000,41.5114441,36.1187,82.822,0.467831522,324.0,29.9617748
14:18:12.270000,41.51154,36.11861,84.162,1.72764325,343.0,25.1833
14:18:13.239000,41.5116539,36.11858,86.452,-6.274952,358.0,32.96754
14:18:14.416000,41.511776,36.11861,87.265,0.349183947,15.0,37.76157
14:18:15.480000,41.5118561,36.11869,87.783,-10.3704414,32.0,26.4924355
14:18:16.535000,41.5119476,36.11884,87.188,-10.6694975,45.0,-6.06139469
14:18:17.686000,41.51202,36.1189537,86.107,-9.137576,43.0,-0.253644079
14:18:18.739000,41.51213,36.1191063,85.524,-10.7499495,31.0,45.63299
14:18:19.680000,41.5121841,36.11919,83.198,-18.2190533,38.0,57.8477821
14:18:21.367000,41.51225,36.11973,79.988,-0.2743068,86.0,20.8898945
14:18:22.326000,41.512207,36.1199379,80.87,-8.29631,90.0,-4.385726
14:18:24.471000,41.512146,36.12028,83.293,-0.955613256,90.0,23.2178764
14:18:25.631000,41.5120239,36.1206131,83.761,6.135636,102.0,-12.9337149
14:18:27.213000,41.5119476,36.12098,91.482,4.73561525,92.0,7.656292
14:18:29.986000,41.5118065,36.1213264,94.117,-3.02770448,115.0,26.6886139
14:18:30.894000,41.5117455,36.1213951,94.489,-0.383400828,128.0,32.67694
14:18:31.695000,41.51159,36.1215,95.919,4.809914,149.0,23.6343918
14:18:32.737000,41.5114059,36.1215439,98.868,-0.0832954347,157.0,36.4800262
14:18:33.576000,41.51121,36.1215477,99.087,-7.07208967,174.0,18.1864815
14:18:35.496000,41.510807,36.12146,101.656,1.65066147,179.0,40.181366
14:18:36.490000,41.5107079,36.1214142,101.66,3.84968066,205.0,32.07669
14:18:37.545000,41.5105362,36.121254,103.223,4.20164728,218.0,39.64952
14:18:38.399000,41.5104065,36.12104,103.939,-3.13363934,236.0,54.7791023
